Content,Tag,Label,Link,Inter
Call for InternsNASA Science Data VisualizationCome visualize space craft and remote sensing data on the planetary scale with the NASA JPL / Caltech / Art Center visualization internship  a multi-disciplinary program for computer scientists and designers.We use visualization to understand the universe.Students will develop creative interactive visualization tools for scientific research/engineering groups selected from a broad set of areas at JPL and Caltech. Working in multidisciplinary teams  students will use methods from User-Centered Design  computing  3D graphics and interaction design to visualize real data sets that support active scientific research. They will receive mentorship in visualization  computing and design from program co-organizers Hillary Mushkin (Caltech)  Scott Davidoff (JPL) and Maggie Hendrie (Art Center) as well as Santiago Lombeyda (Caltech). Students will work closely with scientific or engineering researchers to understand their research and data  identify their visualization needs and determine the relevance of design iterations to their research and data. This should be a good opportunity for students interested in data visualization techniques and real world problems who want to gain experience crossing disciplinary boundariesDATES | June 17 – August 23  2019 (to be confirmed)LOCATION | Pasadena  CaliforniaSALARY | $6.3K for undergraduates  $8.3K for graduate studentsELIGIBILITY | Applicants must be continuing students. Students graduating before fall 2019 are not eligible to apply. THESE PROJECTS REQUIRE COLLABORATION WITH JPL. THEREFORE STUDENTS MUST BE US CITIZENS OR PERMANENT RESIDENTS. GPA must be >= 3.0APPLICATIONS | via email to datavis@caltech.edu; including CV (+Portfolio if relevant) and answers to the following: 1. Why do you want to work in visualization? 2. What visualization experience do you have? 3. What example of visualization do you particularly find inspiring and why? or what example of visualization do you find misleading or ineffective and how would you propose fixing it?DEADLINE | Accepting applications now  until the positions are filled.Questions? Email datavis@caltech.eduSummer Internship – Social Dynamics TeamNokia Bell Labs Cambridge (UK)If you would like to apply  please send your application in pdf format with the subject line “Internship 2019” to daniele.quercia@nokia-bell-labs.com by *January 27th*  2019. Your application will be used solely for the purpose of selecting internship candidates and will be deleted as soon as the selection is complete.The Social Dynamics team at Nokia Bell Labs Cambridge (UK) is looking for summer interns to work on the following internship projects (http://researchswinger.org/hiring.html):1. Visual AI. Creating new beautiful and elegant techniques to display and visualize the results of state-of-the-art artificial intelligence models. Experience with Web Design and Frontend Development (HTML5  Javascript  D3)2. The Language of Love. Learn the typical markers of different types of social exchange from large corpora of text. Enrolled in PhD in NLP or related fields. Experience with Python  Machine Learning  Natural Language Processing  and Big Data Analysis.3. Tracking Well Being with Mobile Sensing. Develop mobile sensing solutions to obtain physiological readings and build models to measure psychological well being. Enrolled in PhD in Computer Science  HCI or related fields. Experience with Python  Machine Learning  Mobile and Wearable Development.4. The Social Life of Cities. Investigate how the urban space shapes our social relationships. Enrolled in PhD in Computational Social Science or related fields. Experience with Python  GIS tools  Network Analysis.5. Healthy City and Human Behavior. Investigate how air and sound pollutions affect human behavior. Enrolled in PhD in any computational field. Experience with Python  GIS tools  and Geographic Studies.6. Look from Above. Investigate the usefulness of satellite data for discovering intangible urban properties such as dwellers’ happiness. Enrolled in PhD in Computer Science  Geography  or related. Experience with Python  Computer Vision (experience with Deep Learning Models is a plus)  GIS tools  and Web Development.7. Exploring Causality in Well-being Data. Study observational social media data reflecting emotional support online and explain causal relationships. Enrolled in PhD in Computer Science or related fields. Experience with Python  Machine Learning  Causality  and Web Development.To learn more about our research  please check our sites: researchswinger.org  lajello.com  goodcitylife.org  sanja7s.space  comarios.com  and sites.google.com/site/keadamzhou.Research Intern PositionB12To apply  please send an email to pao@b12.io with your CV.Who we areB12 is building a better future of creative and analytical work. Our current product provides customers with AI-generated websites  and connects them with designers who help them improve their website through our open source framework Orchestra.We’re an NYC-based startup that is excited about research  has 4 Ph.D.s in fields like Human-Computer Interaction and Database Systems. We’d love to collaborate on projects that both you  your advisor  and our team are all excited about. We want to publish our findings in top-tier conferences.What you’ll doPotential summer 2019 projectsYou’d be a good fit ifSummer Design InternMicrosoft Research – Human-Computer InteractionTo apply  email CV to John Tang at johntang@microsoft.comMicrosoft Research is looking for a design-oriented intern for a project that explores designing user experiences around video calling for people with the Autism Spectrum Disorder. Given the challenges that people with ASD can have in detecting and expressing emotion in social conversations  we’re exploring ways to use AI to detect emotion in video calling  and then design a UX that helps people with ASD to perceive that emotion and conversely express that emotion  probably through some visual display overlaid or associated with the video call UX. We’re not sure exactly what that will look like (or sound or feel like)  so we’re looking for an intern to help us explore the design space. Even better if the intern has some experience with user studies that could help us evaluate a working prototype with people with ASD. It’s a fun project at the intersection of design  accessibility  AI  and video user experiences!Summer Intern – Medical Content Outreach (MCO)St. Jude Children’s Research HospitalClick here for more details and to apply.The Medical Content Outreach (MCO) department at St. Jude Children’s Research Hospital is seeking an intern to support user experience and digital marketing for a new online pediatric cancer resource. For over half a century  St. Jude has been leading the way to find cures and advance care for children with cancer and other life-threatening diseases. The Together website (https://together.stjude.org) was launched in fall 2018  offering trustworthy information and support for all patients and families affected by childhood cancer.Intern – Digital Visual Design & Technical MarketingSolar TurbinesPaid summer internship position available and we are looking for motivated design students.Students can apply online or email Thompson Pham  Digital Design & Marketing Manager  at pham_thompson_h@solarturbines.com.Graduate Student Internships (Open Call)FXPALClick here for more details and to applyFX Palo Alto Laboratory  Inc. (FXPAL) invites highly qualified graduate students to work alongside our researchers. Although the majority of our interns come between May and September  we also accept interns on a year-round basis. Interns are selected based upon their educational standing  academic studies  potential and suitable match with our specific projects. Internships are usually 12 weeks in length. Intern candidates typically hold Bachelor’s degrees in Computer Science  Electrical Engineering  or related fields and are enrolled in an advanced degree program at the time the internship begins.Please send your resume along with contact information for two (2) references.Apply early  as personal interviews may be conducted as soon as the end of January for summer placement. Students from outside the U.S. are welcome to apply.All applicants must provide documentation to prove legal right to work in the U.S. Some relocation provisions will be offered to final candidates. FX Palo Alto Laboratory is an equal opportunity employer. We value diversity in the work place.Social Media Design InternsSkinalytics  Inc.Contact: Michele Temple-Wong  CEO  at michele.templewong@gmail.comA local start-up company is looking for student interns for the summer. The company currently has their first mobile app prototype and is looking for a team of students to begin developing the social media campaign.The student interns will work with the co-founders to develop a marketing strategy consistent with the brand. They are looking for students interested in or who have experience in multiple areas. Consistent with the brand image of the company and app the students will:Requirements:About Skinalytics  Inc.Skinalytics is a developer of software and analytics tools to make selecting skin care products more personalized  smarter  safer  and easier. They are currently developing an app to help people who have experienced reactions to skin care products avoid those chemicals/products they are sensitive to in the future.User Experience Designer InternshipVirtualiticsVirtualitics is a Pasadena-based startup  that has built an AI-driven  collaborative  data analytics and immersive visualization platform across multiple devices (Desktop  VR  AR  mobile).We are seeking a User Experience Designer intern. Ideal candidates will have solid portfolio demonstrating design principles for interface of software/mobile/VR/web. The candidate will generate UX workflow/wireframe for our immersive platform for desktop  VR  and/or mobile. Work with our internal team of engineers  scientists  game developers and designers to obtain in depth understanding of product development requirements.Minimum Requirements:Preferred:To apply please provide link to your portfolio website to jobs@virtualitics.comContact: Qi Chen (Head of UX)Website: https://www.virtualitics.comWhat we offer: A fantastic working environment; incredibly collaborative team; opportunity to learn from the best; and hourly wages. Candidates must be legally authorized to work in US.ResearchEducationCommunityEventsJobsAboutNewsContact Us,design language, 'Personal computer',https://designlab.ucsd.edu/job-categories/jobs-intern/,'hendrie computer'
We use cookies to offer you a better experience  personalize content  tailor advertising  provide social media features  and better understand the use of our services.To learn more or modify/prevent the use of cookies  see our Cookie Policy and Privacy Policy.Do you want to read the rest of this article?You can request the full-text of this article directly from the authors on ResearchGate.,development life cycle ( sdlc ), 'Personal computer',https://www.researchgate.net/publication/225081395_A_Simulation_Model_for_the_Waterfall_Software_Development_Life_Cycle,'hendrie computer'
We use cookies to offer you a better experience  personalize content  tailor advertising  provide social media features  and better understand the use of our services.To learn more or modify/prevent the use of cookies  see our Cookie Policy and Privacy Policy.Do you want to read the rest of this article?You can request the full-text of this article directly from the authors on ResearchGate.,earliest start time, 'Personal computer',https://tel.archives-ouvertes.fr/tel-01859929/document,'hendrie computer'
We use cookies to offer you a better experience  personalize content  tailor advertising  provide social media features  and better understand the use of our services.To learn more or modify/prevent the use of cookies  see our Cookie Policy and Privacy Policy.Do you want to read the rest of this article?You can request the full-text of this article directly from the authors on ResearchGate.,evolutionary prototyping, 'Personal computer',https://www.researchgate.net/publication/234814539_Out_of_Scandinavia_Alternative_Approaches_to_Software_Design_and_System_Development,'hendrie computer'
We use cookies to offer you a better experience  personalize content  tailor advertising  provide social media features  and better understand the use of our services.To learn more or modify/prevent the use of cookies  see our Cookie Policy and Privacy Policy.,execution time, 'Personal computer',https://www.researchgate.net/publication/281783484_A_Simple_BSP-based_Model_to_Predict_Execution_Time_in_GPU_Applications,'hendrie computer'
