'important computer', 'Personal computer'
'hendrie computer', 'Personal computer'
'institute technology', 'Personal computer'
'parallel system', 'Personal computer'
'successful computer', 'Personal computer'
'tandem system', 'Personal computer'
'light system', 'Personal computer'
'previous computer', 'Personal computer'
'japanese calculator', 'Personal computer'
'several early computer', 'Personal computer'
'practical computer', 'Personal computer'
'adopt machine', 'Personal computer'
'science engineering', 'Personal computer'
'internet history', 'Personal computer'
'length machine', 'Personal computer'
'lifetime system', 'Personal computer'
'logic technology', 'Personal computer'
'available computer', 'Personal computer'
'general purpose computer', 'Personal computer'
'stanford engineering', 'Personal computer'
'parallel computer', 'Personal computer'
'experimental machine', 'Personal computer'
'basic computer', 'Personal computer'
'timeline computer', 'Personal computer'
'commercial computer', 'Personal computer'
'typical computer', 'Personal computer'
'simple machine', 'Personal computer'
'scientific calculator', 'Personal computer'
'engineered system', 'Personal computer'
'electrical engineering', 'Personal computer'
'attractive computer', 'Personal computer'
'many machine', 'Personal computer'
'single computer', 'Personal computer'
'electromechanical technology', 'Personal computer'
'similar computer', 'Personal computer'
'calculator market', 'Personal computer'
'logic machine', 'Personal computer'
'build machine', 'Personal computer'
'first computer', 'Personal computer'
'next computer', 'Personal computer'
'electric automatic computer', 'Personal computer'
'global computer', 'Personal computer'
'delta computer', 'Personal computer'
'cray system', 'Personal computer'
'curta calculator', 'Personal computer'
'common engineering', 'Personal computer'
'electronic calculator', 'Personal computer'
'single system', 'Personal computer'
'successful calculator', 'Personal computer'
'eniac computer', 'Personal computer'
'famous mathematician computer', 'Personal computer'
'true portable computer', 'Personal computer'
'large computer, 'Personal computer'
'rome software', 'Personal computer'
'storage computer', 'Personal computer'
'independent software', 'Personal computer'
'microsoft personal software', 'Personal computer'
'rational software', 'Personal computer'
'smart hardware', 'Personal computer'
'vintage computer', 'Personal computer'
'early portable computer', 'Personal computer'
'byibm personal computer', 'Personal computer'
'important hardware', 'Personal computer'
'peachtree software', 'Personal computer'
'basic personal computer', 'Personal computer'
'osborne computer', 'Personal computer'
'entire computer', 'Personal computer'
'portable machine', 'Personal computer'
'hardware make', 'Personal computer'
'handful computer', 'Personal computer'
'update system', 'Personal computer'
