,Label,Link,FreqCount,Words
0,'Personal computer', 'https://en.wikipedia.org/wiki/Category:Personal_computers', 46," ""'desktop computer'- 'personal computers\\u200e'- 'computer'- 'personal supercomputer'- 'office/productivity'- 'personal computer0–9'- 'computers\\u200e'- 'ibm personal computers\\u200e'- 'ultra-low-cost personal computer'- 'theater pc'- 'personal computer'- 'equipmentmicrocomputersvideo'- 'origin'- 'timestamp'"""
1,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types#Introduction_to_Motherboard', 128," ""'timestamp'- 'small computer'- 'computer'- 'machinery'- 'calculator'- 'wifi card'- 'adapter'- 'card'- 'device'- '\\\\/\\\\/upload.wikimedia.org\\\\/wikipedia\\\\/commons\\\\/4\\\\/41\\\\/personal_computer'- 'sound card'- 'lan adapter'- 'audio card'- 'drive'- 'industrial automation'- 'button\\\\'- 'keyboard'- 'support'- 'personal computer'- 'equipment'- 'origin'"""
2,'Computer hardware', 'https://en.wikipedia.org/wiki/Category:Computer_hardware', 29," ""'computer'- 'appliance'- 'electronicscomputer'- 'topiccomputer'- 'computer_hardware'- 'computers\\u200e'- 'library catalogingand'- 'origin'- 'timestamp'"""
3,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types#Slots', 128," ""'timestamp'- 'small computer'- 'computer'- 'machinery'- 'calculator'- 'wifi card'- 'adapter'- 'card'- 'device'- '\\\\/\\\\/upload.wikimedia.org\\\\/wikipedia\\\\/commons\\\\/4\\\\/41\\\\/personal_computer'- 'sound card'- 'lan adapter'- 'audio card'- 'drive'- 'industrial automation'- 'button\\\\'- 'keyboard'- 'support'- 'personal computer'- 'equipment'- 'origin'"""
4,'Personal computer', 'https://en.wikipedia.org/wiki/List_of_home_computers', 284," ""'educational computer'- 'computer'- 'stefan'- 'remote control'- 'ascii express'- 'floppy drive'- 'automatic operation'- 'same device'- 'junior computer'- 'www.homecomputer.de..mw-parser-output cite.citation'- 'original manufacturer'- 'alphabetic keyboard'- 'origin manufacturer'- 'origin'- 'timestamp'- 'numeric keypad'- 'microdrive'- 'inc. imagination'- 'optional floppy drive'- 'device'- 'prodest'- 'optional cartridge'- 'cartridge'- 'game/home computer'- 'keyboard'- 'oldcomputer.info — web'- 'hard drive'- 'recorder'- 'minicomputer'- 'www.old-computers.com'- 'international dai personal computer'- 'microcomputer'- 'east-european home-computer'- 'old-computers.com — web'- 'mechanism'- 'drive'- 'hobby-type computer'- 'cardboard'- 'cartridge expansion'- 'www.oldcomputer.info'- 'machine'- 'optional hard drive'- 'series-computer'- 'olivetti prodest'- 'super-80 computer'- 'product'- 'single-board computer'- 'soviet computer'"""
5,'Computer hardware', 'https://en.wikipedia.org/wiki/Computer_hardware', 224," ""'main computer'- 'computer'- 'portal computer'- 'custom-built computer'- 'computerweekly'- 'light pen mouse'- 'vtecomputer'- 'top500supercomputer'- 'solid-state drive'- 'dvd drive'- 'origin'- 'timestamp'- 'computational engineering'- 'keyboard image'- 'card'- 'device'- 'printer'- 'computational healthcare'- 'modern personal computer'- 'combination'- 'keyboard'- 'bootstrapping'- 'electromagnetic interference'- 'automation'- 'support'- 'hard drive'- 'cryptography'- 'minicomputer'- 'automata'- 'human–computerinteraction'- 'healthcare'- 'vtebasic computer'- 'taihulight'- 'many computer'- 'laboratory automation'- 'compression'- 'drive'- 'unauthorized computer'- 'virtual machine'- 'toxic computer'- 'personal computer'- 'supercomputer'- 'mechanical support'- 'fan'- 'title=computer_hardware'- 'machine'- 'sound card'- 'stored-program computer'- 'electronic digital computer'- 'detachable keyboard'- 'old computer'- 'equipment'"""
6,'Personal computer', 'https://en.wikipedia.org/wiki/Personal_computer', 479," ""'computer'- 'lulu press'- 'calculator'- 'non-kit microcomputer'- 'human-computer interaction'- 'vtecomputer'- 'electromagnetic radiation'- 'manufacturer-supported channel'- 'high-end personal computer'- 'recorder'- 'time-sharing computer'- 'simulator'- 'material'- 'personal computer'- 'first personal computer'- 'computersmicrocomputer'- 'extended producer'- 'electric light'- 'other digital messaging'- 'flight'- '2000s-era personal computer'- 'single-board computer'- 'equipment'- 'large costly minicomputer'- 'sensor'- 'multi-purpose computer'- 'regular computer'- 'computerworld'- 'personal supercomputer'- 'release'- 'micro instrumentation'- 'carry-on baggage'- 'drivestorage'- 'title=personal_computer'- 'portable microcomputer'- 'timestamp'- 'typical gross margin'- 'personal productivity'- 'device'- 'production'- 'instrumentation'- 'technical support'- 'printer'- 'keyboard'- 'hard drive'- 'theater'- 'softwareapplication softwarekeyboardmouseexternal hard diskprinter'- 'famous personal computer'- 'ibm personal computer'- 'associated press'- 'nettops computer'- 'handheld-sized computer'- 'portable computer'- 'carter'- 'express'- '\\\\/\\\\/en.wikipedia.org\\\\/wiki\\\\/personal_computer'- 'laptop computer'- 'computer-aided design'- 'successful personal computer'- 'origin'- 'original ibm pc'- 'special computer'- 'early semiconductor'- 'support'- 'crc press'- 'portal public computer'- 'discarded electronic waste'- 'global personal computer'- 'all-in-one computer'- 'founding product'- 'rotating/removable keyboard'- 'press'- 'terminal calculator'- 'pointing device'- 'many personal computer'- 'producer'- 'corporate computer'- 'early personal computers\\u200d—\\u200cgenerally'- 'card'- 'pci express'- 'computershome appliancesoffice equipmentpersonal computershidden'- 'external keyboard'- 'press release'- 'engineering'- 'adapter'- 'combination'- 'other computer'- 'minicomputer'- 'desktop computer'- 'microcomputer'- 'drive'- 'popular personal computer'- 'setup'- 'stylus pen'- '//news.yahoo.com/s/afp/20110210/tc_afp/itinternettelecomequipmentmobileconsumerproduct'- 'programmable calculator'- 'machine'- 'personalcomputerstationary workstation'- 'sound card'- 'detachable keyboard'- 'separate keyboard'- 'mass-market computer'"""
7,'Personal computer', 'https://en.wikipedia.org/wiki/List_of_home_computers#Attributes', 284," ""'educational computer'- 'computer'- 'stefan'- 'remote control'- 'ascii express'- 'floppy drive'- 'automatic operation'- 'same device'- 'junior computer'- 'www.homecomputer.de..mw-parser-output cite.citation'- 'original manufacturer'- 'alphabetic keyboard'- 'origin manufacturer'- 'origin'- 'timestamp'- 'numeric keypad'- 'microdrive'- 'inc. imagination'- 'optional floppy drive'- 'device'- 'prodest'- 'optional cartridge'- 'cartridge'- 'game/home computer'- 'keyboard'- 'oldcomputer.info — web'- 'hard drive'- 'recorder'- 'minicomputer'- 'www.old-computers.com'- 'international dai personal computer'- 'microcomputer'- 'east-european home-computer'- 'old-computers.com — web'- 'mechanism'- 'drive'- 'hobby-type computer'- 'cardboard'- 'cartridge expansion'- 'www.oldcomputer.info'- 'machine'- 'optional hard drive'- 'series-computer'- 'olivetti prodest'- 'super-80 computer'- 'product'- 'single-board computer'- 'soviet computer'"""
8,'Computer hardware', 'https://en.wikiversity.org/wiki/Computer_Hardware_Types#Hardware', 128," ""'timestamp'- 'small computer'- 'computer'- 'machinery'- 'calculator'- 'wifi card'- 'adapter'- 'card'- 'device'- '\\\\/\\\\/upload.wikimedia.org\\\\/wikipedia\\\\/commons\\\\/4\\\\/41\\\\/personal_computer'- 'sound card'- 'lan adapter'- 'audio card'- 'drive'- 'industrial automation'- 'button\\\\'- 'keyboard'- 'support'- 'personal computer'- 'equipment'- 'origin'"""
9,'Personal computer', 'https://en.wikipedia.org/wiki/IBM_Personal_Computer', 832," ""'first commercial computer'- 'computer'- 'keys'- 'keyswitch'- 'adapter card'- 'built-in carrying'- 'cp/m-86 support'- 'portable personal computeribm'- 'personal computer/atibm'- 'rawsthorn'- 'least-expensive computer'- 'drive parameter'- 'original floppy disk'- 'virginia'- 'subdirectory support'- 'poor impression'- 'mass-produce'- 'recorder'- 'standard microcomputer'- 'significant minicomputer'- 'universal product'- 'single drive'- 'third card'- 'own product'- 'ibm support'- 'computerland'- 'usable product'- 'personal computer'- 'first personal computer'- 'autocad'- 'impression'- 'material'- 'title=ibm_personal_computer'- 'new product'- 'flight'- 'best-selling personal computer'- 'unimpressive—chris espinosa'- 'non-ibm equipment'- 'equipment'- 'oldcomputermuseum.com ibm pc'- 'motorola mc146818'- 'computerworld'- 'release'- 'first laptop computer'- 'numeric key'- 'motor'- 'portable microcomputer'- 'timestamp'- 'high-quality electronic keyboard'- 'device'- 'production'- 'first-year production'- 'key hard enough'- 'key tronic'- 'printer'- 'cary'- 'frank cary'- 'new personal computer'- 'sophisticated personal computer'- 'keyboard'- 'automation'- 'first ibm product'- 'hard drive'- 'same adapter'- 'eagle computer'- 'shredder'- 'third-party keyboard'- 'infobox_information_appliance'- 'portable personal computer'- 'slight increase'- 'imagine'- 'new computer'- 'original equipment'- 'combo card'- 'market—the personal-computer'- 'ibm product'- 'forthcoming product'- 'second card'- 'carte'- 'assembly'- 'motorola'- 'ibm personal computer'- 'associated press'- 'converter'- 'portable computer'- 'depressed key'- 'mccarney'- 'ibm microcomputer'- 'floppy drive'- 'internal hard drive'- 'single-sided drive'- 'electronic keypunch hard disk'- 'single floppy drive'- 'byibm personal computer'- 'machinestypepersonal computerrelease'- 'origin'- 'original character'- 'key'- 'single 5.25-inch floppy drive'- 'original ibm pc'- 'in-store computer'- 'special computer'- 'ibm personal computer—what'- 'vintage computer'- 'os support'- 'support'- 'computer-aided drafting'- 'popular product'- 'mda card'- 'other large computer'- 'physical computer'- 'first ibm-pc compatible computer'- 'magnetic stripe'- 'north carolina'- 'enhanced keyboard'- 'own personal computer'- 'proprietary keyboard'- 'european computer'- 'entire computer'- 'twist'- 'suitcase-size portable machine'- 'press'- 'ibm machine'- 'multi-user machine'- 'original keyboard'- 'early portable computer'- 'soon-to-be-released ibm'- 'engineer'- 'other microcomputer'- 'single-user computer'- 'personal-computer market'- '3.5-inch floppy drive'- 'digital equipment'- 'ginni'- 'new advanced personal computer'- 'same setup'- 'original development'- 'ibm personal computer/at'- 'key keyboard'- 'original system'- 'fantasy world'- 'small printer'- 'card'- 'keynote'- 'engineering'- '101-key pc'- 'product—the pc'- 'strong support'- 'adapter'- 'adjustable keyboard'- 'combination'- 't. cary'- 'cga card'- 'minicomputer'- 'full-function keyboard'- 'microcomputer'- 'light weight'- 'infancy'- 'drive'- '83-key keyboard'- 'original ibm'- 'several single-user computer'- 'mda/printer'- 'first product'- 'original version'- 'third-largest computer'- 'single release'- 'other engineering'- 'machine'- 'original pc'- 'standard 5.25-inch drive'- 'ibm personal computeribm'- 'failure'- 'separate keyboard'- 'product'"""
