,Label,Link,FreqCount,Words
0,'Bicycle', 'https://www.alibaba.com/showroom/bicycle-making-machine.html', 164," ""'system'- 'machine'- 'technology'- 'auto'- 'engineering'- 'supplier auto'- 'computer'- 'rubber powder auto'- 'height auto'- 'tags auto'- 'hot auto'- 'engine'- 'car'"""
1,'Vehicle', 'https://en.wikipedia.org/wiki/Emergency_vehicle_equipment', 22," ""'system'- 'technology'- 'computer'- 'package'- 'dependent technology'- 'lightbar car'- 'light car'- 'colour scheme'- 'organisation'- 'type organization'- 'engine'- 'car'- 'organization'"""
2,'Bicycle', 'http://www.shuztung.com/bicycle-machinery/bicycle-equipment.html', 4," ""'auto'- 'machinery auto'"""
3,'Sports equipment', 'https://en.wikipedia.org/wiki/Sports_equipment', 4," ""'system'- 'different type net'- 'organization'- 'engineering'"""
4,'Bicycle', 'https://www.welovecycling.com/wide/2017/02/23/dont-want-bike-stolen-get-gps-tracker-late/', 5," ""'system'- 'computer'"""
5,'Bicycle', 'https://en.wikipedia.org/wiki/List_of_bicycle_parts', 9," ""'system'- 'computer'- 'machine'- 'engineering'- 'complete system'- 'electronic system'- 'organization'"""
6,'Sports equipment', 'https://www.amazon.in/Printfidaa-Assorted-Equipment-Including-Basketball/dp/B07MRDH2W8', 0, ''
7,'Bicycle', 'https://www.indiamart.com/sherin-engineering-services/bicycle-tools-machines.html', 7," ""'machine'- 'engineering'"""
8,'Bicycle', 'https://www.forbes.com/sites/leebelltech/2017/11/07/best-bike-tech-2017-updated-pick-of-the-top-cycling-gadgets-for-the-summer/', 55," ""'system'- 'computer'- 'technology'- 'light system'- 'q q internet'- 'smart technology'- 'q environmental technology'- 'car'"""
9,'Vehicle', 'https://en.wikipedia.org/wiki/Automotive_electronics#Electronic_Integrated_Cockpit_systems', 56," ""'software'- 'system'- 'computer'- 'powerful computer'- 'hybrid system'- 'many engine'- 'auto'- 'total car'- 'automobile'- 'tube car'- 'november auto'- 'modern car'- 'hardware'- 'infotainment system'- 'automobile german general automobile'- 'lane assist system'- 'type organization'- 'engine'- 'car'- 'organization'"""
