,Link,FreqCount,Words
0,'https://shuztung.en.taiwantrade.com/product-list/bicycle-manufacturing-equipment-144917.html', 128," '\'function changethisproducttype\'- \'producttypeold\'- \'initaddtocart\'- \'producttype=\'- \'autoplayspeed\'- \'ht-60-060 hydraulic press\'- \'producttype\'- \'keyword\'- \'.trigger\'- \'device\'- \'equipment\'- \'typeof cartbar\'- \'cartbar.rendercartbar\'- \'machinery\'- \'product\'- \'ht-90-046 auto\'- \'production\'- \'ht-10-03f computerized manual balancing\'- \'autoplay\'- ""\'changeproducttype link""- \'ht-60-030 auto\'- \'tung machinery\'- \'equipped buffer\'- \'ht-50-828 carbon\'- ""\'+producttypeold""- \'machine\'- ""\'+producttype""- \'auto\'- \'stabilizer\'- \'keyword=\'- \'typeof producttype\'- \'cart\''"
1,'https://en.wikipedia.org/wiki/Cultipacker', 16," ""'timestamp'- 'machinery'- 'agricultural machineryagriculture'- 'agricultural equipment'- 'high pressure'- 'pressure'- 'origin'"""
2,'https://en.wikipedia.org/wiki/Automotive_electronics#Types', 147," ""'car'- 'diesel engine'- 'keyless entry'- 'powerful computer'- 'modern car'- 'connecteddrive'- 'automatic climate'- 'instrument cluster'- 'sensor'- 'catalytic converter'- 'in-car entertainment'- 'other internal combustion-powered machinery'- 'total car'- 'timestamp'- 'engine'- 'satellite navigation'- 'functional safety'- 'driver assistance'- 'pressure'- 'egr valve'- 'product'- 'unsourced material'- '^ auto'- 'computer'- 'remote access'- 'german general automobile'- 'entire product'- 'convenience'- 'driver'- 'automotive industry'- 'passive safety'- 'turbocharger'- 'throttle valve'- 'unauthorized remote'- 'advanced driver-assistance'- 'semi-auto clutch'- 'applicable product'- 'motor'- 'automotive alternator'- 'automotive field'- 'safety'- 'tube car'- 'origin'- 'surface'- 'automatic clutch'- 'auto'- 'automobile'"""
3,'https://sacredrides.com/blog/mountain-bike-gear-for-beginners', 48," ""'protective equipment'- 'carry'- 'key'- 'entry-level equipment'- 'support'- 'auto'- 'equipment'- '-ms-filter'- 'margin'- 'filter'- '.trigger'- 'accountlogin'- 'gear'"""
4,'https://www.amazon.com/comingfit-Universal-Adjustable-Accessories-Equipment/dp/B01AUY2OWW', 2, ''
5,'https://dir.indiamart.com/impcat/automotive-equipments.html', 42," '\'automotive control\'- \'automotive diagnostic equipment\'- \'margin\'- \'ims.page_begin_tm=new\'- \'automotive repair\'- \'pagination\'- ""ims.pagetype =\'product""- \'auto\'- \'material\'- \'clear filter oil\''"
6,'https://www.denso-ten.com/business/automotive/', 21," ""'car'- 'electronic device'- 'safety'- 'press'"""
7,'https://www.thefreedictionary.com/special-equipment+vehicle', 39," ""'keyboard'- 'device'- '//www.thefreedictionary.com/special-equipment+vehicleprinter friendly dictionary'- 'teamspecial-deliveryspecial-equipment vehiclespecialisationspecialisespecialisedspecialiserspecialismspecialistspecialist intelligence'- 'special-purpose buoy special-purpose computer'- 'special-purpose digital computer'- '> special-equipment vehicle'- 'close special-equipment vehicle'- 'special-equipment vehiclespecial-interest special-interest special-interest special-interest special-interest group'- 'special-equipment vehiclea'- 'special-equipment vehicle'- 'material'- '//www.thefreedictionary.com/special-equipment+vehicle'- 'info.islogin'"""
8,'https://www.amazon.com/cycling-electronics/b?ie=UTF8&node=5393951011', 1, ''
9,'https://en.wikipedia.org/wiki/Automotive_electronics#Electronic_Integrated_Cockpit_systems', 147," ""'car'- 'diesel engine'- 'keyless entry'- 'powerful computer'- 'modern car'- 'connecteddrive'- 'automatic climate'- 'instrument cluster'- 'sensor'- 'catalytic converter'- 'in-car entertainment'- 'other internal combustion-powered machinery'- 'total car'- 'timestamp'- 'engine'- 'satellite navigation'- 'functional safety'- 'driver assistance'- 'pressure'- 'egr valve'- 'product'- 'unsourced material'- '^ auto'- 'computer'- 'remote access'- 'german general automobile'- 'entire product'- 'convenience'- 'driver'- 'automotive industry'- 'passive safety'- 'turbocharger'- 'throttle valve'- 'unauthorized remote'- 'advanced driver-assistance'- 'semi-auto clutch'- 'applicable product'- 'motor'- 'automotive alternator'- 'automotive field'- 'safety'- 'tube car'- 'origin'- 'surface'- 'automatic clutch'- 'auto'- 'automobile'"""
10,'https://en.wikipedia.org/wiki/List_of_bicycle_parts', 96," ""'inner surface'- 'quick release'- 'cartridge'- 'guard training'- 'mudguard'- 'general carrier'- 'drivetrain'- 'bike_equipment'- 'bashguard'- 'accessory equipment'- 'mechanical assembly'- 'cargo'- 'gearbox'- 'device'- 'gear'- 'derailleur gears/hub'- 'timestamp'- 'cyclocomputer'- 'indicator'- 'tube valve stem'- 'carrier'- 'valve'- 'gear case'- 'chainguard'- 'engineering'- 'strap'- 'mechanism'- 'computer'- 'ice hockey motorsport'- 'coatguard'- 'support'- 'audible device'- 'guard'- 'cartridge bearing'- 'assembly'- 'chain-drive shifter'- 'cone cyclocomputer'- 'spoke electronic gear-shifting'- 'machine'- 'spoke nipple valve'- 'jockey'- 'chain-drive bicycle'- 'safety'- 'origin'- 'surface'- 'reflector'"""
11,'https://www.macmillandictionary.com/thesaurus-category/british/equipment-and-systems-in-cars-and-other-road-vehicles', 127," ""'car'- 'backwardsreverse gear'- 'slowlyfour-wheel drive'- 'abs.automatic transmission'- 'fan'- 'vehiclefront-wheel drive'- 'equipment'- 'gear'- 'wheelsturbocharger'- 'powercatalytic converter'- 'driverbottom'- 'engine'- 'enginedisc'- 'wheelsfan'- 'enginetop'- 'carburettorcarburettor'- 'carfuel'- 'plugsdrive shaft'- 'cylindersgearbox'- 'enginemotor'- 'gearsteering'- 'itinternal-combustion engine'- 'press'- 'machine'- 'enginechoke'- 'extra gear'- 'enginepower'"""
12,'https://dir.indiamart.com/indianexporters/ag_water.html', 83," '\'light\'- \'< page.loginq.length\'- \'utils.imimg.com/header/js/imlogin.js\'- \'horn\'- \'care\'- \'mouse/keypress movement\'- \'gear\'- \'.keypress\'- \'page.loginq\'- \'machinery\'- \'page.loginq.push\'- \'button-position\'- \'carrier\'- \'valve\'- \'product\'- \'margin:0 auto\'- \'prodname\'- \'button2\'- \'> press\'- \'.keyup\'- \'margin:0\'- ""\'product""- \'auto\'- \'typeof page.loginq\'- \'plastic product\'- \'//my.indiamart.com/buyertools/myproductbuy\'- \'reflector\'- \'prodserv\''"
13,'https://www.indiamart.com/sherin-engineering-services/bicycle-tools-machines.html', 35," ""'engineering'- 'millsmudguard'- '» swaging'- 'machinepipe'- 'cookie_iploc=getcartcookie'- 'machinemotorcycle'- 'machine'- 'machinespipe'- 'automdc_sms.php'- 'product'- 'getcartcookie'- 'machinesbicycle'"""
14,'https://www.welovecycling.com/wide/2017/03/13/three-electronic-devices-help-track-stolen-bike/', 24," ""'bikesafety'- 'sherlock-made key'- 'support'- 'easy-to-use device'- 'lift'- 'driver'- 'safety'- 'triggerevent'- 'screwdriver'"""
15,'https://helmets.org/safequip.htm', 32," ""'other safety'- 'compression'- 'reflective device'- 'safety'- 'mouthguard'- 'good mouthguard'- 'equipment'- 'gear'- 'material'"""
